인도어(로마자),한글
Rai,라이
Raj,라즈
Raja,라자
Rajarshi,라자르시
Rajasekhara,라자셰카라
Rajendra,라젠드라
Rajguru,라즈구루
Rajiv,라지브
Rajkumar,라지쿠마르
Rajlakshmi,라즈락슈미
Rajnath,라즈나트
Rajvanshi,라즈반시
Rakul,라쿨
Ram,람
Rama,라마
Ramachandran,라마찬드란
Ramadorai,라마도래이
Ramadoss,라마도스
Raman,라만
Ramchandra,람찬드라
Ramdhari,람다리
Ramdulari,람둘라리
Ramji,람지
Ramkrishna,람크리슌
Rampal,람팔
Ranadive,란디베
Rangaswamy,강가스와미
Rani,라니
Ranjan,란잔
Ranjit,란지트
Ransingh,란싱
Rao,라오
Ratan,라탄
Rathore,라토르
Ratna,라트나
Ravi,라비
Rawat,라와뜨
Ray,라이
Reddy,레디
Regunatha,레구나타
Riba,리바
Rio,리오
Ritesh,리테시
Riyas,리야스
Rizvi,리즈비
Rohini,로히니
Roshan,로샨
Roy,로이
Rudra,루드라
Ruikar,루이카르
Rushdie,루슈디
S.,S.
Saadat,사닷뜨
Sachin,사친
Sadhna,사드나
Sahgal,사흐갈
Sahib,사히브
Sailo,셀로
Sakharam,사카람
Salahuddin,살라웃딘
Salgaocar,살고카르
Salman,루시디
Salman,살만
Sandeep,산딥
Sandhya,산댜
Sangma,상그마
Sanjay,산제이
Sanjibhai,산지
Sanjiva,산지바
Sansuma,산수마
Sant,산트
Santosh,산토쉬
Saran,사란
Sardesai,사르
Sardul,사르둘
Sarkar,사르카르
Sarvepalli,사르베팔리
Sasikala,사시카라
Satish,사티쉬
Satwant,사트완트
Satya,사티아
Satyabhama,사탸밤
Satyendra,사트엔트라
Sawant,사반뜨/사완뜨
Sayeed,사이드
Scindia,신디야
Seal,실
Sen,센
Seth,세트
Shah,샤
Shahrukh,샤룩
Shahu,샤후
Shams-ud-Din,샴스
Shanghvi,샹비
Shankar,샹카르
Shankarrao,샹카르라오
Shantanu,샨타누
Shanti,샨티
Sharad,샤라드
Sharada,샤라다
Sharma,샤르마
Sharmistha,샤르미슈타
Shastri,샤스트리
Sheel,쉬르
Sheikh,셰이크
Sheila,셰일라
Sheila,실라
Shekhar,셰카르
Shekhawat,셰카와트
Sher,셰르
Sherawat,셰라와트
Shetty,셰티
Shibu,시부
Shikoh,시코흐
Shilpa,실파
Shiney,시니
Shiva,시브/시바
Shivnath,시브나트
Shivpal,시브팔
Shivraj,시브라즈
Shkhawat,슈카와트
Shri,슈리
Shrimati,슈리마티
Shrivastav,슈리바스타브
Shrivastava,슈리바스타바
Shriya,슈리야
Shukla,슈클라
Shyam,스얌
Shyama,샤마프라사드
Sibal,시발
Siddaramaiah,싯다르메야
Siddiqui,싯디키
Sikandar,시칸다르
Sikha,시카
Simharaja,싱하라자
Simranjit,심란지트
Singh,싱
Singha,싱하
Sinha,신하
Sisodia,시소디야
Sita,시타
Sitaram,시타람
Sitharaman,시타라만
Sivakamu,시바카무
Sobti,소브티
